CustomerID,PurchaseDate,TransactionAmount,ProductInformation,OrderID,Location
8814,11/04/23,943.31,Product C,890075,Tokyo
2188,11/04/23,463.7,Product A,176819,London
4608,11/04/23,80.28,Product A,340062,New York
2559,11/04/23,221.29,Product A,239145,London
9482,11/04/23,739.56,Product A,194545,Paris
8483,11/04/23,375.23,Product C,691194,Paris
8317,11/04/23,272.56,Product B,826847,New York
6911,11/04/23,433.33,Product C,963918,Tokyo
8993,12/04/23,16.55,Product D,112426,New York
3519,12/04/23,464.63,Product C,139726,New York
9005,12/04/23,120.75,Product C,972064,Paris
9409,12/04/23,865.98,Product A,597126,London
5670,12/04/23,392.7,Product B,995296,London
8724,12/04/23,623.35,Product C,739717,London
9148,12/04/23,99.15,Product D,629996,Tokyo
5837,12/04/23,978.17,Product D,387813,New York
2767,12/04/23,299.57,Product D,342397,Tokyo
2824,12/04/23,744.13,Product B,334053,London
9128,12/04/23,388.9,Product D,281201,Paris
1520,12/04/23,102.76,Product B,629903,New York
8719,12/04/23,338.56,Product B,313701,Paris
8529,12/04/23,132.99,Product B,562721,Tokyo
8705,12/04/23,751.53,Product A,466960,London
6347,12/04/23,637.78,Product D,614435,London
4161,12/04/23,692.36,Product C,859587,London
2228,12/04/23,997.19,Product B,777366,Tokyo
6638,12/04/23,417.64,Product C,812597,London
5533,13/04/23,13.51,Product B,768061,Paris
9871,13/04/23,849.53,Product C,750817,Paris
9864,13/04/23,621.28,Product B,761820,Paris
1146,13/04/23,585.27,Product D,821846,London
9115,13/04/23,134.98,Product C,205239,Tokyo
5494,13/04/23,974.55,Product C,831295,London
4190,13/04/23,786.12,Product B,745073,London
5583,13/04/23,693.38,Product B,564920,Tokyo
2617,13/04/23,575.3,Product D,789880,Tokyo
6878,13/04/23,226.63,Product D,343007,New York
5349,13/04/23,117.32,Product D,462479,Paris
5173,13/04/23,711.7,Product A,645175,London
8216,13/04/23,924.97,Product B,309385,Paris
4302,13/04/23,793.2,Product A,430926,Paris
5087,13/04/23,461.88,Product C,838862,London
2524,13/04/23,922.06,Product D,834891,Paris
2741,13/04/23,897.91,Product D,247271,Tokyo
2139,13/04/23,664.65,Product C,183667,London
5919,13/04/23,812.08,Product A,123682,Paris
7781,13/04/23,566.9,Product B,877259,London
9584,13/04/23,840.68,Product A,957730,New York
2848,13/04/23,811.38,Product D,744793,New York
1742,13/04/23,145.67,Product C,943019,Tokyo
3676,14/04/23,223.31,Product C,599687,New York
9120,14/04/23,972.57,Product D,923975,Paris
3573,14/04/23,110.25,Product B,299212,Tokyo
2169,14/04/23,174.26,Product C,723948,Paris
4401,14/04/23,192.99,Product A,785010,Paris
8552,14/04/23,176.31,Product D,961599,Tokyo
4909,14/04/23,252.03,Product D,221620,Tokyo
9985,14/04/23,36.1,Product D,649435,New York
7770,14/04/23,195.71,Product C,752878,Tokyo
7797,14/04/23,402.49,Product C,347231,Tokyo
3406,14/04/23,174.68,Product B,641737,Tokyo
1323,14/04/23,692.85,Product D,565897,Tokyo
2200,14/04/23,186.21,Product C,685193,New York
5557,14/04/23,511.86,Product D,522866,London
1616,14/04/23,375.05,Product C,180458,New York
5347,14/04/23,135.49,Product D,651640,New York
4923,14/04/23,248.46,Product A,189814,Tokyo
1936,14/04/23,588.34,Product B,159642,New York
3340,15/04/23,535.2,Product A,739966,London
7461,15/04/23,595.98,Product A,556112,London
5224,15/04/23,388.85,Product B,809794,London
7429,15/04/23,547.76,Product B,301528,Paris
2444,15/04/23,270.46,Product C,183927,New York
3709,15/04/23,753.92,Product C,352593,Paris
1753,15/04/23,269,Product C,112960,London
8770,15/04/23,100.31,Product A,197758,Tokyo
6482,15/04/23,336.39,Product D,397949,Paris
3538,15/04/23,302.83,Product A,632351,New York
1136,15/04/23,394.76,Product C,795186,Paris
2832,15/04/23,945.6,Product B,672092,New York
6201,15/04/23,561.77,Product A,293079,Paris
4044,15/04/23,599.08,Product B,523389,New York
3153,16/04/23,910.53,Product C,883790,Tokyo
1502,16/04/23,748.65,Product B,494468,Tokyo
9584,16/04/23,401.81,Product C,882033,Paris
7955,16/04/23,436.3,Product B,671971,Paris
8292,16/04/23,812.41,Product C,800280,Paris
9740,16/04/23,507.55,Product B,720556,London
1464,16/04/23,55.01,Product C,782759,London
4814,16/04/23,159.18,Product D,327738,Paris
9008,16/04/23,899.9,Product D,947975,New York
6077,16/04/23,516.19,Product B,947312,London
4559,16/04/23,897.63,Product B,888996,New York
5102,16/04/23,378.13,Product B,154302,Tokyo
3807,16/04/23,504.86,Product D,776234,Paris
8239,16/04/23,605.2,Product A,356600,Paris
8449,16/04/23,257.58,Product B,853270,New York
3110,16/04/23,906.03,Product C,228479,New York
4271,17/04/23,35.48,Product B,769191,Paris
9042,17/04/23,873.99,Product C,592198,Tokyo
7224,17/04/23,365.39,Product C,733052,Paris
2902,17/04/23,242.45,Product B,507524,Tokyo
1803,17/04/23,422.79,Product B,269172,Paris
7965,17/04/23,738.63,Product B,412170,New York
4871,17/04/23,154.98,Product B,281926,London
8909,17/04/23,302.48,Product A,221707,London
6262,17/04/23,89.27,Product C,421384,Tokyo
1879,17/04/23,442.72,Product A,457137,Tokyo
3937,17/04/23,918.87,Product B,352674,London
1820,17/04/23,815.05,Product A,993647,Paris
5813,17/04/23,476.07,Product C,860413,London
9564,17/04/23,35.02,Product B,155642,New York
3308,17/04/23,60.1,Product D,745270,Tokyo
3103,17/04/23,393.53,Product C,628597,Tokyo
6096,17/04/23,582.9,Product C,703766,Tokyo
2809,17/04/23,527.97,Product A,145903,London
5476,18/04/23,801.35,Product D,519453,Tokyo
8490,18/04/23,701.26,Product D,430984,New York
8195,18/04/23,474.01,Product C,833723,Tokyo
9418,18/04/23,383.43,Product D,392670,Paris
